,ECI_M,BAND_M,ECI_N,BAND_N,CH_M,CH_N,CH_CROSS,AREA_M,¹²¸²¸Ç¶È
0,103014150,F2,152440961,FDD1800,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15567797164766, 30.087219243750496], [121.15692051281471, 30.085908647383558], [121.15742435153055, 30.0865477875912], [121.15720118531735, 30.086875222674063], [121.1566183784213, 30.087628262133858], [121.15629933494552, 30.087848354060615]]","[[121.15567797164766, 30.087219243750496], [121.156644, 30.086813], [121.1565386423348, 30.087683268019394], [121.15629933494552, 30.087848354060615]]",8.56117248361192e-06,0.06138363890624468
1,103014150,F2,152440964,FDD900,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]",0,0,8.56117248361192e-06,0.0
2,103014150,F2,214262593,FDD1800,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.1490135, 30.09328344], [121.1522314998145, 30.086188914989094], [121.1528554, 30.08549415], [121.1529838, 30.08546262], [121.15306909999998, 30.08547485], [121.159705, 30.088775], [121.15052949999999, 30.09449644], [121.15020318436966, 30.094374726331868]]","[[121.1530455, 30.08684272], [121.15577427868112, 30.086820183025594], [121.15659379007838, 30.087227740483907], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]",8.56117248361192e-06,0.978954519244098
3,103014150,F2,214262594,FDD1800,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15057770528954, 30.083235011971595], [121.1577719961669, 30.07607751276103], [121.1541191960364, 30.08535386729465], [121.151867, 30.086746]]",0,8.56117248361192e-06,0.0
4,103014150,F2,214262595,FDD1800,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.14639109529291, 30.08646002477729], [121.14967341169793, 30.083182756392286], [121.15031061052305, 30.083136880472352], [121.15167705092267, 30.083665802031046], [121.15171200000002, 30.085718800000002], [121.15056466042505, 30.088346270135474], [121.15037828958968, 30.08858793743469]]",0,8.56117248361192e-06,0.0
5,103014150,F2,103014145,F1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]",0,0,8.56117248361192e-06,0.0
6,103014150,F2,103014146,F1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15341849347733, 30.083535430153294], [121.15708089712595, 30.08141309273119], [121.1607154589067, 30.08435857619129], [121.15960917945573, 30.085283556272763], [121.15734893883025, 30.08611157366927], [121.15382029999999, 30.08488358]]",0,8.56117248361192e-06,0.0
7,103014150,F2,103014147,F1,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15493020000001, 30.09066455], [121.15622269931556, 30.08645481984648], [121.15611935353455, 30.088202289980224]]","[[121.15506075968736, 30.090239311049324], [121.15611137787857, 30.0868173989244], [121.15620130022803, 30.086816656256], [121.15611935353455, 30.088202289980224], [121.15518563396357, 30.090135648711897]]",8.56117248361192e-06,0.10229075124561325
8,103014150,F2,103014148,F2,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.1570804, 30.08609908], [121.1594795258415, 30.085233945950584], [121.15935619999999, 30.08771718], [121.1593348, 30.08775473], [121.15759809999999, 30.08955399], [121.1573137210652, 30.087919487689426]]",0,8.56117248361192e-06,0.0
9,103014150,F2,103014149,F2,"[[121.1530455, 30.08684272], [121.156644, 30.086813], [121.15635974548883, 30.08916097923787], [121.15479749123749, 30.090457859045873], [121.15417445346746, 30.0896070175479]]","[[121.15651229999999, 30.08607321], [121.15763799999999, 30.081118], [121.157671, 30.081069], [121.159516, 30.08514924], [121.1595432, 30.08524749], [121.1595424, 30.08524999], [121.1565382, 30.08610201]]",0,8.56117248361192e-06,0.0
