LONGITUDE,LATITUDE,CELL_RSRP,CELL_RSRQ,CELL_SINR,CELL_CELLID,зЪЙмаЁЧјКХ,ИњзйЧјТы,ЧјЯи
121.1057908,30.047078,-98.88888889,-15.88888889,-2.222222222,81098369,81098369,26699,грвІ
121.1770704,30.06710059,-85.8,-8.2,2.2,103008515,103008515,22342,грвІ
120.980768,30.102826,-89.1,-11.2,1.16,152241281,152241281,26699,грвІ
120.9626108,30.11334852,-95.8,-5,0,186891781,186891781,22720,грвІ
121.1541195,30.03185465,-78,-9,-1,265052549,265052549,22604,грвІ
121.1624065,30.0281371,-85.4,-12.5,0,103021571,103021571,22604,грвІ
121.141068,30.037329,-91,-16.5,-4.8,188889346,188889346,22604,грвІ
121.14218,30.034595,-88,-19,-6.6,188889346,188889346,22604,грвІ
121.141284,30.037698,-89.5,-11.5,-0.9,188889346,188889346,22604,грвІ
121.141482,30.03583666,-87.5,-14,-2.1,188889346,188889346,22604,грвІ
121.1339041,30.05720133,-61,-6,2.3,103184386,103184386,26562,грвІ
121.1352425,30.05774672,-66,-7,1.95,103184385,103184385,26562,грвІ
121.16729,30.169312,-87,-11,-4.8,156779395,156779395,26695,грвІ
121.1650992,30.16894635,-88,-10.25,-1.45,156779395,156779395,26695,грвІ
121.0615418,30.20349954,-91.28571429,-10.71428571,0.6,156364673,156364673,22344,грвІ
121.0614919,30.20348,-91.33333333,-11.66666667,0.6,152063361,152063361,22344,грвІ
120.98161,30.065405,-86,-9,2.333333333,208397633,208397633,26699,грвІ
120.98161,30.065405,-93,-10,-1.8,152382339,152382339,26699,грвІ
121.0738083,30.11425422,-98.5,-12.25,0.4,214459202,214459202,26696,грвІ
121.0738409,30.1142645,-96,-13.83333333,-0.333333333,157200258,157200258,26696,грвІ
121.0738406,30.11426412,-98.75,-14.5,-0.2,188935938,188935938,26696,грвІ
121.3348527,30.02532633,-77,-12,2,186766851,186766851,26399,грвІ
121.3349127,30.02511583,-91,-12,2,156776835,156776835,26399,грвІ
121.165502,30.026738,-90,-14,1.8,103021571,103021571,22604,грвІ
121.163868,30.008307,-94,-8,2.6,103014913,103014913,26566,грвІ
121.1105569,30.02218587,-89.3,-12.6,1.84,81019010,81019010,26566,грвІ
121.0945345,30.14375067,-95.5,-12.5,2.225,197924354,197924354,26696,грвІ
121.0949042,30.14340007,-96,-13.5,0,197924354,197924354,26696,грвІ
121.1841857,30.05727458,-90,-18,-9,265204353,265204353,22342,грвІ
121.1842036,30.05671549,-92,-18,-9,198051841,198051841,22342,грвІ
121.1841884,30.05565782,-92,-18,-9,198051841,198051841,22342,грвІ
121.147558,30.044766,-91.5,-10.5,-0.9,208672838,208672838,26564,грвІ
121.149481,30.044318,-88,-13,-1,208672838,208672838,26564,грвІ
121.148381,30.045113,-90.5,-11.5,2.5,208672838,208672838,26564,грвІ
121.2012354,30.03459613,-98.88888889,-10.88888889,2.333333333,214277953,214277953,22604,грвІ
121.1716776,30.02434054,-99,-13,-3.5,265011330,265011330,22604,грвІ
120.988324,30.16862,-94,-11,1,119793858,119793858,22720,грвІ
121.113303,30.018279,-97,-12,1.6,103031041,103031041,26566,грвІ
121.178052,30.060227,-91,-14,-1,265181065,265181065,22604,грвІ
121.178007,30.060218,-86.33333333,-10.77777778,2.288888889,265181065,265181065,22604,грвІ
121.2315156,29.96890462,-86,-14,-3,152228738,152228738,26399,грвІ
121.2316162,29.96892033,-84.55555556,-12.22222222,-0.111111111,152228737,152228737,26399,грвІ
120.9518691,30.09554464,-80.25,-8,2.5,264924805,264924805,26699,грвІ
121.1275363,30.0337294,-98.83333333,-11,1.966666667,156461185,156461185,22604,грвІ
121.160541,30.038595,-87,-10,-4,188998145,188998145,22604,грвІ
120.973903,30.10879349,-91.33333333,-11,0.666666667,186891777,186891777,22720,грвІ
121.2485297,30.03833008,-76,-13,1.6,186767874,186767874,26399,грвІ
121.1504728,30.0328163,-87,-14,1,188999171,188999171,22604,грвІ
121.1504414,30.0313973,-77,-14,1,188999171,188999171,22604,грвІ
121.113801,30.109815,-97.4,-10.1,2.85,186888451,186888451,26696,грвІ
121.184877,30.085033,-98.16666667,-14.33333333,-0.5,81015425,81015425,22342,грвІ
121.1766,30.084315,-99,-14.5,1.5,81015425,81015425,22342,грвІ
121.1292548,30.04757324,-96,-16,-0.2,208197188,208197188,26562,грвІ
121.1298758,30.04752631,-92,-13,2.4,208197188,208197188,26562,грвІ
121.129721,30.047627,-89,-12,1.2,208696135,208696135,26562,грвІ
120.96286,30.124398,-94,-13,1,156363400,156363400,22720,грвІ
121.2586951,30.0009062,-95.7,-11.6,1.5,198028291,198028291,26399,грвІ
121.125624,30.019018,-98.57142857,-11,2.514285714,213973313,213973313,26566,грвІ
121.125624,30.019018,-93,-15,-5.2,156411009,156411009,26566,грвІ
121.125624,30.019018,-93,-16,-1.2,152285825,152285825,26566,грвІ
121.0508306,30.162733,-89,-17.2,-8.68,102987523,102987523,22720,грвІ
121.1470658,30.03945462,-98.66666667,-11,-2.333333333,208619078,208619078,22604,грвІ
121.146972,30.03939,-98,-11,1,152240769,152240769,26562,грвІ
121.093456,30.099519,-89,-14,0.6,186818562,186818562,26696,грвІ
120.9955113,30.1543152,-96.42857143,-9.857142857,2.4,214258241,214258241,22720,грвІ
121.032739,30.07382,-98,-11,2.3,119796417,119796417,26699,грвІ
121.1486756,30.0245521,-90.5,-10.1,0.2,264928388,264928388,22604,грвІ
121.143089,30.093248,-96,-8,-0.8,208626753,208626753,26696,грвІ
121.143084,30.093211,-97,-9,1.4,208627266,208627266,26696,грвІ
121.1399097,29.99890489,-93,-10,1.6,156442753,156442753,26566,грвІ
121.156704,30.075651,-81.5,-9.666666667,0.333333333,198059522,198059522,26700,грвІ
121.156704,30.075651,-90,-11,2,265050500,265050500,26700,грвІ
121.156704,30.075651,-90,-8,2,103001089,103001089,26700,грвІ
121.055225,30.161981,-95,-13,0.2,102987521,102987521,22720,грвІ
121.3309843,30.02624957,-88,-9,1,186766595,186766595,26399,грвІ
121.1702182,30.08515679,-95.5,-11,2,156514947,156514947,22342,грвІ
121.2416533,29.98960965,-88.5,-11.75,-3.2,156443011,156443011,26399,грвІ
121.2417078,29.98966325,-91.2,-13,2.6,156443011,156443011,26399,грвІ
121.1866235,30.07705851,-73,-13,1.3,214316865,214316865,22342,грвІ
120.9651505,30.12178327,-96.75,-10.75,-0.25,186770946,186770946,22720,грвІ
120.9651401,30.12176355,-95,-10,0,156441218,156441218,22720,грвІ
121.19189,30.166513,-96,-10,-5,208658755,208658755,26695,грвІ
121.1099754,30.0371607,-85.5,-9.5,-3.5,208496450,208496450,26562,грвІ
121.1105563,30.03768852,-85.5,-10.75,-2.375,208496450,208496450,26562,грвІ
120.990808,30.145742,-99,-13,-4.6,156518274,156518274,22720,грвІ
121.091219,30.066776,-84,-9,2.6,265176451,265176451,26699,грвІ
121.1800495,30.16916239,-98.9,-9.2,-4.8,102991877,102991877,26695,грвІ
120.933367,30.145357,-97,-11,1.6,186891523,186891523,22720,грвІ
121.1601658,30.06933512,-73.5,-15,-2.1,208196419,208196419,22342,грвІ
121.1603906,30.06961073,-87,-13,1.6,208196417,208196417,22342,грвІ
121.110992,30.03643636,-87,-11,2.2,152294274,152294274,26562,грвІ
120.987799,30.14764925,-96,-9,-0.5,156518274,156518274,22720,грвІ
121.0906872,30.09753928,-92.9,-12.4,1.04,156937345,156937345,26696,грвІ
121.115565,30.140392,-90,-11,-3.6,156997505,156997505,26696,грвІ
121.11557,30.14039,-97,-11.57142857,1.971428571,186899715,186899715,26696,грвІ
121.1646154,30.0538185,-97.5,-11,2.3,214462787,214462787,22342,грвІ
121.1921895,30.16592464,-82.11111111,-11.11111111,1.777777778,208658755,208658755,26695,грвІ
121.192165,30.165911,-87,-11,2,214274881,214274881,26695,грвІ
121.0337373,30.15926948,-96,-14,0.8,214260033,214260033,22720,грвІ
121.0339087,30.15928467,-95,-15,-4.8,197923841,197923841,22720,грвІ
121.0337573,30.15928426,-95,-15,-4.8,197923841,197923841,22720,грвІ
121.0329324,30.16026503,-95,-15,-4.8,197923841,197923841,22720,грвІ
121.0317375,30.16036296,-95,-15,-4.8,197923841,197923841,22720,грвІ
121.030303,30.1600179,-95,-15,-4.8,197923841,197923841,22720,грвІ
121.1623993,30.0721461,-92,-8,2,152127619,152127619,22342,грвІ
121.0612958,30.07104926,-91,-13,-1,156495491,156495491,26699,грвІ
121.062707,30.067401,-87.5,-13,1,198157571,198157571,26699,грвІ
121.060016,30.068367,-87,-14,-3,156495491,156495491,26699,грвІ
121.1610046,30.06801323,-95.7,-9.2,2.8,198052098,198052098,22342,грвІ
121.2238307,30.03287937,-96,-11.5,2.6,186883842,186883842,26399,грвІ
121.2236849,30.03216146,-98,-9,2,214835778,214835778,26399,грвІ
121.2125357,30.03629702,-99.66666667,-9.333333333,-1.333333333,156979329,156979329,26399,грвІ
121.1556303,30.08911068,-88.5,-13.5,0.1,214951745,214951745,26700,грвІ
121.122425,30.166443,-84,-9.5,1,156774018,156774018,26696,грвІ
121.086229,30.120768,-97.22222222,-12.11111111,-0.244444444,157200257,157200257,26696,грвІ
121.086229,30.120768,-96,-15,-2.8,188935937,188935937,26696,грвІ
121.1822785,30.04714993,-95,-9,2.25,198054914,198054914,26562,грвІ
121.1822593,30.04713826,-95.5,-12,1.5,156718721,156718721,26562,грвІ
121.1822294,30.04712048,-93,-10,1,198054913,198054913,26562,грвІ
121.182108,30.047102,-89,-11,2,198054914,198054914,26562,грвІ
121.196608,30.167432,-77,-11,1,214750530,214750530,26695,грвІ
121.1946189,30.16701633,-78,-11,1,214750532,214750532,26695,грвІ
121.1927695,30.16614936,-84,-7.5,2,214274881,214274881,26695,грвІ
121.1922111,30.16518175,-83,-9,0,102992388,102992388,26695,грвІ
120.9669754,30.12761556,-99,-10,2,119857091,119857091,22720,грвІ
121.2387158,29.98706597,-89,-13,-8.2,152490881,152490881,26399,грвІ
